t,수치해,엄밀해,상대오차(%)
0.035500,2.129595,2.137076,0.350052
0.035600,2.129969,2.137449,0.349921
0.035700,2.130343,2.137821,0.349790
0.035800,2.130717,2.138194,0.349659
0.035900,2.131091,2.138566,0.349528
0.036000,2.131465,2.138938,0.349398
0.036100,2.131838,2.139310,0.349267
0.036200,2.132212,2.139682,0.349136
0.036300,2.132586,2.140054,0.349006
0.036400,2.132959,2.140426,0.348875
0.036500,2.133332,2.140798,0.348745
0.036600,2.133706,2.141170,0.348615
0.036700,2.134079,2.141542,0.348484
0.036800,2.134452,2.141914,0.348354
0.036900,2.134825,2.142285,0.348224
0.037000,2.135198,2.142657,0.348094
0.037100,2.135571,2.143028,0.347964
0.037200,2.135944,2.143399,0.347834
0.037300,2.136317,2.143771,0.347705
0.037400,2.136689,2.144142,0.347575
0.037500,2.137062,2.144513,0.347445
0.037600,2.137435,2.144884,0.347316
0.037700,2.137807,2.145255,0.347186
0.037800,2.138179,2.145626,0.347057
0.037900,2.138552,2.145997,0.346927
0.038000,2.138924,2.146368,0.346798
0.038100,2.139296,2.146738,0.346669
0.038200,2.139668,2.147109,0.346540
0.038300,2.140040,2.147479,0.346411
0.038400,2.140412,2.147850,0.346282
0.038500,2.140784,2.148220,0.346153
0.038600,2.141156,2.148591,0.346024
0.038700,2.141528,2.148961,0.345895
0.038800,2.141899,2.149331,0.345766
0.038900,2.142271,2.149701,0.345638
0.039000,2.142642,2.150071,0.345509
0.039100,2.143014,2.150441,0.345380
0.039200,2.143385,2.150811,0.345252
0.039300,2.143757,2.151181,0.345124
0.039400,2.144128,2.151550,0.344995
0.039500,2.144499,2.151920,0.344867
0.039600,2.144870,2.152290,0.344739
0.039700,2.145241,2.152659,0.344611
0.039800,2.145612,2.153029,0.344483
0.039900,2.145983,2.153398,0.344355
0.040000,2.146353,2.153767,0.344227
0.040100,2.146724,2.154137,0.344099
0.040200,2.147095,2.154506,0.343971
0.040300,2.147465,2.154875,0.343844
0.040400,2.147836,2.155244,0.343716
0.040500,2.148206,2.155613,0.343588
0.040600,2.148577,2.155981,0.343461
0.040700,2.148947,2.156350,0.343334
0.040800,2.149317,2.156719,0.343206
0.040900,2.149687,2.157088,0.343079
0.041000,2.150057,2.157456,0.342952
0.041100,2.150427,2.157825,0.342825
0.041200,2.150797,2.158193,0.342697
0.041300,2.151167,2.158561,0.342570
0.041400,2.151536,2.158930,0.342444
0.041500,2.151906,2.159298,0.342317
0.041600,2.152276,2.159666,0.342190
0.041700,2.152645,2.160034,0.342063
0.041800,2.153015,2.160402,0.341937
0.041900,2.153384,2.160770,0.341810
0.042000,2.153753,2.161137,0.341683
0.042100,2.154122,2.161505,0.341557
0.042200,2.154492,2.161873,0.341431
0.042300,2.154861,2.162240,0.341304
0.042400,2.155230,2.162608,0.341178
0.042500,2.155599,2.162975,0.341052
0.042600,2.155967,2.163343,0.340926
0.042700,2.156336,2.163710,0.340800
0.042800,2.156705,2.164077,0.340674
0.042900,2.157073,2.164444,0.340548
0.043000,2.157442,2.164812,0.340422
0.043100,2.157811,2.165179,0.340296
0.043200,2.158179,2.165545,0.340171
0.043300,2.158547,2.165912,0.340045
0.043400,2.158915,2.166279,0.339919
0.043500,2.159284,2.166646,0.339794
0.043600,2.159652,2.167012,0.339668
0.043700,2.160020,2.167379,0.339543
0.043800,2.160388,2.167745,0.339418
0.043900,2.160756,2.168112,0.339293
0.044000,2.161123,2.168478,0.339167
0.044100,2.161491,2.168845,0.339042
0.044200,2.161859,2.169211,0.338917
0.044300,2.162226,2.169577,0.338792
0.044400,2.162594,2.169943,0.338667
0.044500,2.162961,2.170309,0.338543
0.044600,2.163329,2.170675,0.338418
0.044700,2.163696,2.171041,0.338293
0.044800,2.164063,2.171406,0.338169
0.044900,2.164430,2.171772,0.338044
0.045000,2.164798,2.172138,0.337919
0.045100,2.165165,2.172503,0.337795
0.045200,2.165531,2.172869,0.337671
0.045300,2.165898,2.173234,0.337546
0.045400,2.166265,2.173599,0.337422
0.045500,2.166632,2.173965,0.337298
0.045600,2.166998,2.174330,0.337174
0.045700,2.167365,2.174695,0.337050
0.045800,2.167732,2.175060,0.336926
0.045900,2.168098,2.175425,0.336802
0.046000,2.168464,2.175790,0.336678
0.046100,2.168831,2.176155,0.336554
0.046200,2.169197,2.176519,0.336431
0.046300,2.169563,2.176884,0.336307
0.046400,2.169929,2.177248,0.336184
0.046500,2.170295,2.177613,0.336060
0.046600,2.170661,2.177977,0.335937
0.046700,2.171027,2.178342,0.335813
0.046800,2.171392,2.178706,0.335690
0.046900,2.171758,2.179070,0.335567
0.047000,2.172124,2.179434,0.335444
0.047100,2.172489,2.179799,0.335321
0.047200,2.172855,2.180163,0.335197
0.047300,2.173220,2.180526,0.335075
0.047400,2.173585,2.180890,0.334952
0.047500,2.173951,2.181254,0.334829
0.047600,2.174316,2.181618,0.334706
0.047700,2.174681,2.181981,0.334583
0.047800,2.175046,2.182345,0.334461
0.047900,2.175411,2.182709,0.334338
0.048000,2.175776,2.183072,0.334216
0.048100,2.176141,2.183435,0.334093
0.048200,2.176505,2.183799,0.333971
0.048300,2.176870,2.184162,0.333848
0.048400,2.177235,2.184525,0.333726
0.048500,2.177599,2.184888,0.333604
0.048600,2.177964,2.185251,0.333482
0.048700,2.178328,2.185614,0.333360
0.048800,2.178692,2.185977,0.333238
0.048900,2.179056,2.186339,0.333116
0.049000,2.179421,2.186702,0.332994
0.049100,2.179785,2.187065,0.332872
0.049200,2.180149,2.187427,0.332751
0.049300,2.180513,2.187790,0.332629
0.049400,2.180876,2.188152,0.332507
0.049500,2.181240,2.188515,0.332386
0.049600,2.181604,2.188877,0.332264
0.049700,2.181968,2.189239,0.332143
0.049800,2.182331,2.189601,0.332022
0.049900,2.182695,2.189963,0.331900
0.050000,2.183058,2.190325,0.331779
0.050100,2.183421,2.190687,0.331658
0.050200,2.183785,2.191049,0.331537
0.050300,2.184148,2.191411,0.331416
0.050400,2.184511,2.191772,0.331295
0.050500,2.184874,2.192134,0.331174
0.050600,2.185237,2.192495,0.331053
0.050700,2.185600,2.192857,0.330932
0.050800,2.185963,2.193218,0.330812
0.050900,2.186326,2.193580,0.330691
0.051000,2.186688,2.193941,0.330570
0.051100,2.187051,2.194302,0.330450
0.051200,2.187414,2.194663,0.330330
0.051300,2.187776,2.195024,0.330209
0.051400,2.188138,2.195385,0.330089
0.051500,2.188501,2.195746,0.329969
0.051600,2.188863,2.196107,0.329848
0.051700,2.189225,2.196468,0.329728
0.051800,2.189587,2.196828,0.329608
0.051900,2.189949,2.197189,0.329488
0.052000,2.190311,2.197549,0.329368
0.052100,2.190673,2.197910,0.329248
0.052200,2.191035,2.198270,0.329129
0.052300,2.191397,2.198631,0.329009
0.052400,2.191759,2.198991,0.328889
0.052500,2.192120,2.199351,0.328770
0.052600,2.192482,2.199711,0.328650
0.052700,2.192843,2.200071,0.328531
0.052800,2.193205,2.200431,0.328411
0.052900,2.193566,2.200791,0.328292
0.053000,2.193927,2.201151,0.328172
0.053100,2.194288,2.201510,0.328053
0.053200,2.194649,2.201870,0.327934
0.053300,2.195010,2.202230,0.327815
0.053400,2.195371,2.202589,0.327696
0.053500,2.195732,2.202949,0.327577
0.053600,2.196093,2.203308,0.327458
0.053700,2.196454,2.203667,0.327339
0.053800,2.196815,2.204027,0.327220
0.053900,2.197175,2.204386,0.327101
0.054000,2.197536,2.204745,0.326983
0.054100,2.197896,2.205104,0.326864
0.054200,2.198257,2.205463,0.326746
0.054300,2.198617,2.205822,0.326627
0.054400,2.198977,2.206180,0.326509
0.054500,2.199337,2.206539,0.326390
0.054600,2.199697,2.206898,0.326272
0.054700,2.200057,2.207256,0.326154
0.054800,2.200417,2.207615,0.326036
0.054900,2.200777,2.207973,0.325918
0.055000,2.201137,2.208332,0.325799
0.055100,2.201497,2.208690,0.325681
0.055200,2.201856,2.209048,0.325564
0.055300,2.202216,2.209406,0.325446
0.055400,2.202576,2.209764,0.325328
0.055500,2.202935,2.210123,0.325210
0.055600,2.203294,2.210480,0.325092
0.055700,2.203654,2.210838,0.324975
0.055800,2.204013,2.211196,0.324857
0.055900,2.204372,2.211554,0.324740
0.056000,2.204731,2.211911,0.324622
0.056100,2.205090,2.212269,0.324505
0.056200,2.205449,2.212627,0.324388
0.056300,2.205808,2.212984,0.324270
0.056400,2.206167,2.213341,0.324153
0.056500,2.206525,2.213699,0.324036
0.056600,2.206884,2.214056,0.323919
0.056700,2.207243,2.214413,0.323802
0.056800,2.207601,2.214770,0.323685
0.056900,2.207960,2.215127,0.323568
0.057000,2.208318,2.215484,0.323451
0.057100,2.208676,2.215841,0.323334
0.057200,2.209035,2.216198,0.323218
0.057300,2.209393,2.216554,0.323101
0.057400,2.209751,2.216911,0.322985
0.057500,2.210109,2.217268,0.322868
0.057600,2.210467,2.217624,0.322752
0.057700,2.210825,2.217981,0.322635
0.057800,2.211182,2.218337,0.322519
0.057900,2.211540,2.218693,0.322403
0.058000,2.211898,2.219050,0.322286
0.058100,2.212255,2.219406,0.322170
0.058200,2.212613,2.219762,0.322054
0.058300,2.212970,2.220118,0.321938
0.058400,2.213328,2.220474,0.321822
0.058500,2.213685,2.220830,0.321706
0.058600,2.214042,2.221185,0.321590
0.058700,2.214399,2.221541,0.321474
0.058800,2.214757,2.221897,0.321359
0.058900,2.215114,2.222252,0.321243
0.059000,2.215470,2.222608,0.321127
0.059100,2.215827,2.222963,0.321012
0.059200,2.216184,2.223319,0.320896
0.059300,2.216541,2.223674,0.320781
0.059400,2.216898,2.224029,0.320666
0.059500,2.217254,2.224384,0.320550
0.059600,2.217611,2.224739,0.320435
0.059700,2.217967,2.225095,0.320320
0.059800,2.218323,2.225449,0.320205
0.059900,2.218680,2.225804,0.320090
0.060000,2.219036,2.226159,0.319975
0.060100,2.219392,2.226514,0.319860
0.060200,2.219748,2.226869,0.319745
0.060300,2.220104,2.227223,0.319630
0.060400,2.220460,2.227578,0.319515
0.060500,2.220816,2.227932,0.319400
0.060600,2.221172,2.228286,0.319286
0.060700,2.221528,2.228641,0.319171
0.060800,2.221883,2.228995,0.319057
0.060900,2.222239,2.229349,0.318942
0.061000,2.222594,2.229703,0.318828
0.061100,2.222950,2.230057,0.318713
0.061200,2.223305,2.230411,0.318599
0.061300,2.223660,2.230765,0.318485
0.061400,2.224016,2.231119,0.318371
0.061500,2.224371,2.231473,0.318256
0.061600,2.224726,2.231826,0.318142
0.061700,2.225081,2.232180,0.318028
0.061800,2.225436,2.232533,0.317914
0.061900,2.225791,2.232887,0.317801
0.062000,2.226146,2.233240,0.317687
0.062100,2.226500,2.233594,0.317573
0.062200,2.226855,2.233947,0.317459
0.062300,2.227210,2.234300,0.317346
0.062400,2.227564,2.234653,0.317232
0.062500,2.227919,2.235006,0.317118
0.062600,2.228273,2.235359,0.317005
0.062700,2.228627,2.235712,0.316892
0.062800,2.228982,2.236065,0.316778
0.062900,2.229336,2.236418,0.316665
0.063000,2.229690,2.236770,0.316552
0.063100,2.230044,2.237123,0.316438
0.063200,2.230398,2.237475,0.316325
0.063300,2.230752,2.237828,0.316212
0.063400,2.231105,2.238180,0.316099
0.063500,2.231459,2.238533,0.315986
0.063600,2.231813,2.238885,0.315873
0.063700,2.232166,2.239237,0.315761
0.063800,2.232520,2.239589,0.315648
0.063900,2.232873,2.239941,0.315535
0.064000,2.233227,2.240293,0.315422
0.064100,2.233580,2.240645,0.315310
0.064200,2.233933,2.240997,0.315197
0.064300,2.234287,2.241349,0.315085
0.064400,2.234640,2.241700,0.314972
0.064500,2.234993,2.242052,0.314860
0.064600,2.235346,2.242404,0.314748
0.064700,2.235699,2.242755,0.314635
0.064800,2.236051,2.243107,0.314523
0.064900,2.236404,2.243458,0.314411
0.065000,2.236757,2.243809,0.314299
0.065100,2.237109,2.244160,0.314187
0.065200,2.237462,2.244511,0.314075
0.065300,2.237814,2.244863,0.313963
0.065400,2.238167,2.245214,0.313851
0.065500,2.238519,2.245564,0.313739
0.065600,2.238871,2.245915,0.313628
0.065700,2.239224,2.246266,0.313516
0.065800,2.239576,2.246617,0.313404
0.065900,2.239928,2.246967,0.313293
0.066000,2.240280,2.247318,0.313181
0.066100,2.240632,2.247669,0.313070
0.066200,2.240984,2.248019,0.312958
0.066300,2.241335,2.248369,0.312847
0.066400,2.241687,2.248720,0.312736
0.066500,2.242039,2.249070,0.312624
0.066600,2.242390,2.249420,0.312513
0.066700,2.242742,2.249770,0.312402
0.066800,2.243093,2.250120,0.312291
0.066900,2.243444,2.250470,0.312180
0.067000,2.243796,2.250820,0.312069
0.067100,2.244147,2.251170,0.311958
0.067200,2.244498,2.251519,0.311847
0.067300,2.244849,2.251869,0.311737
0.067400,2.245200,2.252219,0.311626
0.067500,2.245551,2.252568,0.311515
0.067600,2.245902,2.252918,0.311405
0.067700,2.246253,2.253267,0.311294
0.067800,2.246603,2.253616,0.311184
0.067900,2.246954,2.253966,0.311073
0.068000,2.247305,2.254315,0.310963
0.068100,2.247655,2.254664,0.310852
0.068200,2.248006,2.255013,0.310742
0.068300,2.248356,2.255362,0.310632
0.068400,2.248706,2.255711,0.310522
0.068500,2.249056,2.256060,0.310412
0.068600,2.249407,2.256408,0.310302
0.068700,2.249757,2.256757,0.310192
0.068800,2.250107,2.257106,0.310082
0.068900,2.250457,2.257454,0.309972
0.069000,2.250807,2.257803,0.309862
0.069100,2.251156,2.258151,0.309752
0.069200,2.251506,2.258499,0.309643
0.069300,2.251856,2.258848,0.309533
0.069400,2.252205,2.259196,0.309423
0.069500,2.252555,2.259544,0.309314
